ds,yhat,yhat_lower,yhat_upper
2021-04-15 08:17:00,-0.013599806547371918,-10.195920334599737,11.293691822681247
2021-04-15 08:18:00,-0.013318825103730059,-10.600163374575606,10.156700617291749
2021-04-15 08:19:00,-0.013022485467232947,-11.353171350487656,10.230852849607949
2021-04-15 08:20:00,-0.012711764029061046,-10.052786619904772,10.81364318394724
2021-04-15 08:21:00,-0.012387622184022784,-10.590387063224192,10.573086410306322
2021-04-15 08:22:00,-0.012051005958171213,-10.703092760427113,10.96919710047648
2021-04-15 08:23:00,-0.011702845641778259,-10.822861504912927,9.571874160024278
2021-04-15 08:24:00,-0.011344055419547416,-11.91765229771679,9.981077362463019
2021-04-15 08:25:00,-0.01097553300754317,-10.27722625588005,10.194414439544595
2021-04-15 08:26:00,-0.010598159319122114,-10.029398653528148,11.385370345019853
2021-04-15 08:27:00,-0.010212798106207455,-10.458182597672419,10.561173896373825
2021-04-15 08:28:00,-0.009820295641612908,-10.825692300219911,10.930266213825238
2021-04-15 08:29:00,-0.009421480377317715,-10.937970100327469,11.167615823836915
2021-04-15 08:30:00,-0.009017162636367426,-10.798148302196607,10.849507969968931
2021-04-15 08:31:00,-0.008608134299082804,-10.868541423981409,10.683488857167008
2021-04-15 08:32:00,-0.008195168499416927,-9.948215913644775,10.883487611875303
2021-04-15 08:33:00,-0.0077790193302887944,-10.497447586012777,10.013394888138134
2021-04-15 08:34:00,-0.007360421560151598,-10.76536922162254,9.892200753139026
2021-04-15 08:35:00,-0.006940090353846573,-10.532748094120688,10.371461640157856
2021-04-15 08:36:00,-0.0065187210015228425,-10.362554775428016,10.90464065293669
2021-04-15 08:37:00,-0.006096988663419345,-10.223373097029718,10.147186343698184
2021-04-15 08:38:00,-0.005675548104717598,-10.59492003074429,11.10192392219078
2021-04-15 08:39:00,-0.005255033475282889,-10.448977326643313,9.561706280933556
2021-04-15 08:40:00,-0.00483605804680276,-10.190666405665626,10.04461814055489
2021-04-15 08:41:00,-0.004419214006841088,-11.214968805866475,10.594643913221434
2021-04-15 08:42:00,-0.0040050722403945915,-10.457065024593073,10.098455890972675
2021-04-15 08:43:00,-0.0035941821074735314,-10.236269079034736,10.351874758194857
2021-04-15 08:44:00,-0.0031870712576496096,-10.712601494991569,11.070817586054938
2021-04-15 08:45:00,-0.002784245442202904,-10.000318815912875,10.475552647305717
2021-04-15 08:46:00,-0.0023861883209793655,-11.430104577911294,11.113656260675588
2021-04-15 08:47:00,-0.0019933613070032274,-9.697732125685079,11.498123446446863
2021-04-15 08:48:00,-0.0016062033736751191,-10.923171048835263,10.80609874674043
2021-04-15 08:49:00,-0.0012251309490659557,-9.957957286291013,11.79329263008339
2021-04-15 08:50:00,-0.0008505377261806002,-11.294851114587324,10.447222457698661
2021-04-15 08:51:00,-0.00048279456619682026,-10.918683860459048,10.508230510360082
2021-04-15 08:52:00,-0.00012224933824789286,-10.19338996380195,10.572653508599963
2021-04-15 08:53:00,0.00023077315573172275,-11.226407127722199,10.131044032836844
2021-04-15 08:54:00,0.0005759713305584224,-10.385961526752425,11.101506826442764
2021-04-15 08:55:00,0.0009130668858412516,-10.325413579103438,11.242387735289617
2021-04-15 08:56:00,0.0012418048810323157,-9.692123136165458,10.863605316639042
2021-04-15 08:57:00,0.0015619538550817325,-11.118442385555676,9.677526892207945
2021-04-15 08:58:00,0.001873305862337027,-10.937034390884978,10.566534581148698
2021-04-15 08:59:00,0.0021756765196079275,-10.268820196619506,10.650717283682134
2021-04-15 09:00:00,0.0024689050985496896,-10.895398280657465,12.044363557963718
2021-04-15 09:01:00,0.002752854503718982,-10.292868090327712,9.838230890767734
2021-04-15 09:02:00,0.003027411386726575,-11.396939428418875,10.57944559083053
2021-04-15 09:03:00,0.003292486043858678,-9.968523775024664,10.588329189474235
2021-04-15 09:04:00,0.0035480125614888447,-10.710546897377078,10.398179205209537
2021-04-15 09:05:00,0.00379394871619132,-10.861285060946372,10.565600448643954
2021-04-15 09:06:00,0.004030276005863254,-10.39818190282196,9.986406372711516
2021-04-15 09:07:00,0.004256999610463996,-10.042980452728296,10.654701751202722
2021-04-15 09:08:00,0.00447414839342275,-10.86438317950612,10.667820479973123
2021-04-15 09:09:00,0.004681774855986864,-10.777254171472668,10.262109367787795
2021-04-15 09:10:00,0.004879955040771655,-10.90665512438247,11.088496150915073
2021-04-15 09:11:00,0.005068788539971281,-10.227194189127394,10.333717103381012
2021-04-15 09:12:00,0.005248398414078981,-10.867344607807949,10.427371032557396
2021-04-15 09:13:00,0.005418931047277864,-10.35108611936267,11.16562118916286
2021-04-15 09:14:00,0.0055805561793766945,-10.69457164137571,10.665144177516995
2021-04-15 09:15:00,0.00573346669009589,-10.445610681836639,10.739735680971785
2021-04-15 09:16:00,0.005877878596161179,-10.12892464654548,9.6764073519403
2021-04-15 09:17:00,0.006014030838945694,-10.857790088251143,11.296217870708562
2021-04-15 09:18:00,0.006142185270059164,-10.038026211443958,11.021213694172205
2021-04-15 09:19:00,0.006262626426000506,-10.630710017886695,10.582583264611335
2021-04-15 09:20:00,0.006375661416426204,-10.89621116391744,10.458879429823302
2021-04-15 09:21:00,0.006481619783234693,-10.561258472638984,10.529055530377962
2021-04-15 09:22:00,0.006580853356016436,-10.901344650208992,10.87190656969222
2021-04-15 09:23:00,0.0066737360224702336,-10.841492379518744,10.79565848683863
2021-04-15 09:24:00,0.006760663615411722,-10.646912120844277,10.538596394732043
2021-04-15 09:25:00,0.006842053668290493,-11.543334631654794,10.692684566621649
2021-04-15 09:26:00,0.00691834530072466,-10.826470991056226,10.968367501213
2021-04-15 09:27:00,0.006989998884101789,-10.870998738112796,11.400721227447136
2021-04-15 09:28:00,0.007057495972028649,-11.037566492825,11.26896811867166
2021-04-15 09:29:00,0.007121338995673465,-10.313404010489448,10.21353856350331
2021-04-15 09:30:00,0.007182051023920333,-11.120472515558333,10.77284735973366
2021-04-15 09:31:00,0.00724017554725731,-10.859763482103586,10.516049962300634
2021-04-15 09:32:00,0.007296276255310041,-11.386018092888747,10.131308703691516
2021-04-15 09:33:00,0.007350936769932814,-10.830576654188715,10.067470119429881
2021-04-15 09:34:00,0.007404760310923186,-10.410961003486007,10.031950347984147
2021-04-15 09:35:00,0.007458369524756092,-11.032727079811908,10.941798271190084
2021-04-15 09:36:00,0.007512406178766806,-10.615317093956385,11.302010743742747
2021-04-15 09:37:00,0.007567530778278764,-10.536491306945342,11.028386066373725
2021-04-15 09:38:00,0.007624422435340339,-9.659611615844808,11.410152695123674
2021-04-15 09:39:00,0.007683778416035625,-10.068638448385006,10.448428508649862
2021-04-15 09:40:00,0.007746313926020543,-10.318249535776813,10.39556693239985
2021-04-15 09:41:00,0.007812761721466388,-10.853521391323314,9.976723731324858
2021-04-15 09:42:00,0.007883871862281344,-10.114469072764447,11.103727128482575
2021-04-15 09:43:00,0.007960411326977113,-9.535685526059737,10.923476849904173
2021-04-15 09:44:00,0.008043163637397432,-10.747163881926536,9.910884211594109
2021-04-15 09:45:00,0.008132928621312874,-10.026501443226545,10.93242194771363
2021-04-15 09:46:00,0.008230521922274359,-11.019700594650836,10.482635525336052
2021-04-15 09:47:00,0.008336774796757762,-10.505415217369926,10.56593000566512
2021-04-15 09:48:00,0.008452533557640862,-10.187060055635307,10.217746689690008
2021-04-15 09:49:00,0.00857865938956237,-10.306960449007418,10.754812321603657
2021-04-15 09:50:00,0.008716027862363251,-11.299051525228588,10.604610301658418
